iter	RMSE
0	868631.2614
1	856860.2677
2	817102.5349
3	806132.2951
4	793824.8421
5	759011.5295
6	749149.3269
7	718490.3364
8	706799.993
9	695438.1003
10	685973.6746
11	677443.4125
12	669210.8669
13	640610.1047
14	630377.7624
15	622749.803
16	613847.8572
17	583398.8329
18	560862.6163
19	554122.0178
20	547565.2475
21	541682.5401
22	520311.085
23	512514.3059
24	493033.6203
25	487720.9515
26	482490.5822
27	465909.4971
28	461152.7578
29	441485.5904
30	435610.6607
31	420779.7175
32	415137.5239
33	411066.3487
34	405901.6701
35	402132.1587
36	389258.8675
37	385731.4665
38	382333.6208
39	366609.6987
40	362273.3757
41	350262.0452
42	347237.104
43	344831.0499
44	341957.3509
45	339255.5662
46	327752.2848
47	325286.8968
48	315559.2571
49	308254.897
50	306026.5622
51	300885.3351
52	298831.0669
53	296853.4756
54	287616.8268
55	286025.3882
56	284253.5784
57	282825.012
58	275275.0531
59	271403.2944
60	263245.091
61	260809.5816
62	259357.2427
63	257293.9418
64	255993.184
65	250527.862
66	248371.1538
67	242755.7123
68	241799.0535
69	240699.4524
70	237619.7242
71	236000.493
72	230515.5822
73	229594.6616
74	228174.6851
75	222638.756
76	221843.9574
77	219985.0545
78	218173.1844
79	217017.1483
80	215884.7524
81	211684.4153
82	206580.0889
83	203988.2722
84	203420.4589
85	202914.8245
86	200415.919
87	199972.7974
88	197342.5656
89	195351.6792
90	194225.9211
91	192275.0791
92	190035.4766
93	187872.6351
94	185471.9684
95	184842.7105
96	184438.4892
97	184069.7659
98	180135.8345
99	179753.3544
