iter	Passed	Remaining
0	2	222
1	4	206
2	5	191
3	7	168
4	8	168
5	10	168
6	12	166
7	13	159
8	15	156
9	17	156
10	18	151
11	20	148
12	22	147
13	23	147
14	25	145
15	26	140
16	28	138
17	30	136
18	31	136
19	33	134
20	35	133
21	37	132
22	38	130
23	40	126
24	41	124
25	43	123
26	44	120
27	46	119
28	48	119
29	50	118
30	52	116
31	54	114
32	55	112
33	57	111
34	58	109
35	59	106
36	61	104
37	63	102
38	65	101
39	67	100
40	68	98
41	70	97
42	72	96
43	74	95
44	76	93
45	78	92
46	80	90
47	82	89
48	84	87
49	86	86
50	88	84
51	90	83
52	91	81
53	93	79
54	96	78
55	97	76
56	99	74
57	100	72
58	102	70
59	104	69
60	106	67
61	108	66
62	110	64
63	111	62
64	113	61
65	115	59
66	116	57
67	118	55
68	120	53
69	121	52
70	123	50
71	125	48
72	127	47
73	129	45
74	131	43
75	133	42
76	135	40
77	137	38
78	139	37
79	141	35
80	143	33
81	145	31
82	147	30
83	149	28
84	151	26
85	153	24
86	155	23
87	156	21
88	158	19
89	160	17
90	161	15
91	163	14
92	164	12
93	166	10
94	168	8
95	170	7
96	171	5
97	173	3
98	175	1
99	177	0
